,pais,anio,inversion
613,NZL,2021,3993.4927146697
614,NIC,2021,1220.1
615,NER,2021,594.831963083
616,NGA,2021,3313.21
617,NOR,2021,1749.3597206054
618,OMN,2021,4020.8062418726
619,PAK,2021,2147.0
620,PAN,2021,1926.9511123
621,PNG,2021,-10.7124914358
622,PRY,2021,191.5862305
623,PER,2021,5755.3612241
624,PHL,2021,11983.36333
625,POL,2021,29580.0764231857
626,PRT,2021,9614.9249481368
627,QAT,2021,-1093.4065934
628,MDA,2021,410.05
629,ROU,2021,10573.7001090487
630,RUS,2021,38638.90745
631,RWA,2021,399.2944886
632,STP,2021,13.9485279
633,SAU,2021,19285.6435846
634,SEN,2021,2588.1249941674
635,SRB,2021,5087.102013734
636,SYC,2021,224.7846582
637,SLE,2021,212.0
638,SGP,2021,131151.4920546073
639,SMX,2021,27.9507924022
640,SVK,2021,58.7088778868
641,SVN,2021,1773.304044736
642,SLB,2021,27.8048534122
643,ZAF,2021,40948.1145742535
644,ESP,2021,21957.1753318178
645,LKA,2021,592.2899699
646,PSE,2021,353.4770549
647,SUR,2021,-124.0453495
648,SWZ,2021,117.4739160892
649,SWE,2021,21133.1643535228
650,CHE,2021,-88169.2998601515
651,THA,2021,14640.8730289
652,tfyr_de_macedonia,2021,556.4949792666
653,TLS,2021,-755.276826
654,TON,2021,0.2584876
655,TTO,2021,-1008.381652
656,TUN,2021,660.2332394693
657,UGA,2021,1100.217529
658,UKR,2021,7320.0
659,ARE,2021,20667.1204901
660,GBR,2021,-71173.8290249152
661,USA,2021,387780.0
662,URY,2021,2241.4844906
663,VEN,2021,-996.0
664,VNM,2021,15660.0
665,YEM,2021,
666,ZMB,2021,-351.646566
667,ZWE,2021,250.0
668,AFG,2022,
669,ALB,2022,1434.1255065163
670,DZA,2022,88.7685192
671,AGO,2022,-6142.2488482
672,ARG,2022,15087.3983545
673,ARM,2022,998.0554254
674,ABW,2022,253.3748167039
675,AUS,2022,61629.4781585723
676,AUT,2022,1946.8179089829
677,AZE,2022,-4474.47
678,BHS,2022,1254.8319129
679,BHR,2022,1951.329787234
680,BGD,2022,3479.95
681,BRB,2022,200.0
682,BLR,2022,1603.42454
683,BEL,2022,-1710.1505437942
684,BLZ,2022,133.5564676
685,BEN,2022,266.6031894723
686,BMU,2022,-32.8933333
687,BOL,2022,-26.3584197
688,BIH,2022,661.3662768659
689,BWA,2022,216.0260456869
690,BRA,2022,86050.3589742
691,VGB,2022,38118.5510885
692,BRN,2022,-292.4163595503
693,BGR,2022,2504.8770554451
694,BFA,2022,121.2954997553
695,BDI,2022,12.8836879339
696,CPV,2022,136.056543
697,KHM,2022,3578.8312959
698,CMR,2022,888.5446083
699,CAN,2022,52633.1964457898
700,CYM,2022,24590.0198496
701,CAF,2022,24.0477221852
702,TCD,2022,614.0185064633
703,CHL,2022,19786.0049798
704,CHN,2022,189132.41
705,HKG,2022,117725.0553763131
706,MAC,2022,4000.0
707,TWN,2022,10189.0
708,COL,2022,17047.55184
709,congo,2022,532.2562510334
710,COK,2022,3.8924104
711,CRI,2022,3045.0352224
712,cote_divoire,2022,1583.694622218
713,HRV,2022,3674.5907959361
714,CWU,2022,140.679716648
715,CYP,2022,4913.2526082955
716,CZE,2022,9853.134066083
717,COD,2022,1845.7733086
718,DNK,2022,4493.543948745
719,DOM,2022,4010.4
720,ECU,2022,788.0578035
721,EGY,2022,11399.9
722,SLV,2022,-99.10179
723,GNQ,2022,458.5099029987
724,EST,2022,1205.1168588831
725,FJI,2022,103.8881042897
726,FIN,2022,9444.790780351
727,FRA,2022,36413.3593927702
728,PYF,2022,-9.4803026
729,GAB,2022,1104.5920390423
730,GMB,2022,236.0
731,GEO,2022,1999.99014
732,DEU,2022,11053.3958703655
733,GHA,2022,1472.6
734,GRC,2022,7603.6389823762
735,GTM,2022,1352.40938
736,GIN,2022,139.4533333
737,GNB,2022,21.9408848921
738,GUF,2022,4408.44348
739,HTI,2022,39.3032
740,HND,2022,822.6
741,HUN,2022,8571.4661649745
742,ISL,2022,619.5968415175
743,IND,2022,49354.6119469879
744,IDN,2022,21968.17
745,IRN,2022,1500.0
746,IRQ,2022,-2088.2
747,IRL,2022,1490.0634356335
748,ISR,2022,27760.138
749,ITA,2022,19946.8421185648
750,JAM,2022,359.5146667
751,JPN,2022,32508.808407328
752,JOR,2022,1137.0422535211
753,KAZ,2022,6108.4128491
754,KEN,2022,759.4937022
755,KIR,2022,1.0323961
756,KOR,2022,17996.0
757,KWT,2022,757.7713697959
758,KGZ,2022,290.9
759,lao,2022,528.2248497
760,LVA,2022,1507.9652578284
761,LBN,2022,457.878416
762,LBR,2022,73.1066667
763,LTU,2022,2157.8751168884
764,LUX,2022,-322053.7812860669
765,MDG,2022,396.244477
766,MWI,2022,188.5640343
767,MYS,2022,16939.6011339045
768,MLI,2022,252.9127313244
769,MLT,2022,4239.6832851739
770,MRT,2022,1147.5553133515
771,MUS,2022,252.104279704
772,MEX,2022,35291.618356
773,MNG,2022,2504.29
774,MNE,2022,876.751692354
775,MAR,2022,2141.3963266166
